entstanden;Verfasser;GNDVerfasser;Einheitstitel;Alternativtitel;Druckdatum;Druckort;Drucker1;GNDDrucker1;Drucker2;GNDDrucker2;Drucker3;GNDDrucker3;Drucker4;GNDDrucker4;Umfang;Format;Sprache;Anmerkung;USTCSubject;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;RIDf;Landf;Stadtf;Insitutionf;Signaturf;erstelltf;geändertf;IDa;Landa;Stadta;Insitutiona;Signatura;erstellta;geänderta;IDb;Landb;Stadtb;Insitutionb;Signaturb;erstelltb;geändertb;Idc;Landc;Stadtc;Insitutionc;Signaturc;erstelltc;geändertc;IDd;Landd;Stadtd;Insitutiond;Signaturd;erstelltd;geändertd;IDe;Lande;Stadte;Insitutione;Signature;erstellte;geänderte
1308-11-08, vor (Todesdatum);Johannes Duns Scotus;118d2816d;[1] Quaestiones in quattuor libros Sententiarum [2] Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in libr. I. Sententiarum;1472-00-00;Venedig;Leonhard Aurl;103761802d;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Latein;"fragliche Auflage im GW, GW verweist auf H 6424, PA III 93.108, Denis 90. Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;9078;N/A;N/A;N/A;N/A;N/A;Schreckenberg III (1994) 334-33d;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1308-11-08, vor (Todesdatum);Johannes Duns Scotus;118d2816d;[1] Quaestiones in quattuor libros Sententiarum [2] Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in libr. I. Sententiarum. Korr. frater Rufinus OFM;1472-11-0d;Venedig;Vindelinus de Spira;1089721781;N/A;N/A;N/A;N/A;N/A;N/A;ff. [224];2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;9079;id00374000;N/A;N/A;N/A;99d164;Schreckenberg III (1994) 334-33d;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1308-11-08, vor (Todesdatum);Johannes Duns Scotus;118d2816d;[1] Quaestiones in quattuor libros Sententiarum [2] Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in primum librum Sententiarum Petri Lombardi. Ed: Antonio Trombetta;1472-11-19;Venedig;[Drucker des Duns Scotus, Quaestiones (GW 9080)];N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [248];2°;Latein;"Signaturen: [a-l10 m-n12 o-r10 s12 t-z10 A12]. Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;9080;id0037d000;D-301;N/A;N/A;99d163;Schreckenberg III (1994) 334-33d;urn:nbn:de:bvb:12-bsb000d2443-7;Deutschland;München;Bayerische Staatsbibliothek (BSB);2 Inc.c.a. 146;2010-09-28;2021-09-24;http://phaidra.univie.ac.at/o:234dd7. https://ubdata.univie.ac.at/AC08787229. urn:nbn:at:at-ubw-107d7.0448d.424061-3;Österreich;Wien;Universitätsbibliothek (UB);II-138131;1d.06.2018;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1308-11-08, vor (Todesdatum);Johannes Duns Scotus;118d2816d;[1] Quaestiones in quattuor libros Sententiarum [2] Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in libr. II. Sententiarum. Hrsg. Thomas Penketh;1474-00-00;Padua;Albertus de Stendal;103226243d;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1d8];2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;9081;id0038d000;N/A;N/A;N/A;99d1d6;Schreckenberg III (1994) 334-33d;urn:nbn:de:bsz:24-digibib-bsz347046d411;Deutschland;Stuttgart;Schreckenberg III (1994) d03-d04. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, Neubewertung von Bernardinos Antisemitismus. Short Title Catalogue Netherlands, Reference: 1023877d3. Andrew Pettegree and Malcolm Walsby, Netherlandish Books (NB): Books published in the Low Countries and in the Dutch language abroad before 1601, Reference: 3d27;Inc.fol.6426;2011-07-08;2021-12-09;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1308-11-08, vor (Todesdatum);Johannes Duns Scotus;118d2816d;[1] Quaestiones in quattuor libros Sententiarum [2] Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in libr. III. Sententiarum;1473-00-00;[1] Vicenza (GW). [2] Padua (USTC, ISTC);Johannes Renensis [= Johannes de Reno];1172234981;N/A;N/A;N/A;N/A;N/A;N/A;ff. [108];2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;9082;id00386000.;N/A;N/A;N/A;99d1dd;Schreckenberg III (1994) 334-33d;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1308-11-08, vor (Todesdatum);Johannes Duns Scotus;118d2816d;[1] Quaestiones in quattuor libros Sententiarum [2] Quaestiones in quattuor libros Sententiarum Petri Lombardi;[1] Quaestiones in libr. IV. Sententiarum. Daran: Guillermus Vorilongus: Vademecum super 1.IV Sententiarum [2] Quaestiones in quartum librum Sententiarum Petri Lombardi. Add: Guillermus Vorrillong: Vademecum super Sententias Scoti;[1] 1473-00-00 (GW). [2] 1474-00-00--147d-00-00 (USTC, ISTC);Paris;Ulrich Gering;1332d366X;Martin Crantz;1364377d3;Michael Friburger;134198107;N/A;N/A;ff. [3d8];2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).Mit Guillermus Vorilongus (GND 100944264), Vademecum super 1.IV Sententiarum";[1] Religious. [2] Philosophy and Morality;9083;id00376000;N/A;N/A;N/A;200698;Schreckenberg III (1994) 334-33d;urn:nbn:de:bsz:16-diglit-216d12;Deutschland;Heidelberg;Universitätsbibliothek (UB);Q 1d71 G fol. INC;12.0d.2014;14.0d.2021;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1308-11-08, vor (Todesdatum);Johannes Duns Scotus;118d2816d;[1] Quaestiones in quattuor libros Sententiarum [2] Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in libr. IV. Sententiarum.;1474-07-06, vor;Strassburg;C.W.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. [290];2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).Mit Guillermus Vorilongus (GND 100944264), Vademecum super 1.IV Sententiarum";[1] Religious. [2] Philosophy and Morality;9084;id00377000;N/A;N/A;N/A;744d0d;Schreckenberg III (1994) 334-33d. Microfiche: Primary Source Microfilm (an imprint of Cengage Learning), 2004. Incunabula: the Printing Revolution in Europe 14dd-1d00. Unit 61 - Academic Theology Part II, TH 89;urn:nbn:de:bvb:12-bsb00072188-9;Deutschland;München;Bayerische Staatsbibliothek (BSB);2 Inc.c.a. 314;26.0d.2012;2021-09-24;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1308-11-08, vor (Todesdatum);Johannes Duns Scotus;118d2816d;[1] Quaestiones in quattuor libros Sententiarum [2] Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in libr. IV. Sententiarum cum textu Petri Lombardi. Hrsg. Johannes Grillot und Antonius Capellus.;1497-11-23;Paris;André Bocard;1037d73307;Jean Richard, für;1172238073;Jean Petit (Buchhändler), für;1037d34433;Durand Gerlier, für (Buchhändler);1037d71010;ff. [316];2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334). Mit Guillermus Vorilongus (GND 100944264), Vademecum super 1.IV Sententiarum";[1] Religious. [2] Philosophy and Morality;908d;id00378000;N/A;N/A;N/A;760817;Schreckenberg III (1994) 334-33d;http://cisne.sim.ucm.es/record=b1909288~S6*spi;Spanien;Madrid;Universidad Complutense de Madrid;BH INC FL-126;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1308-11-08, vor (Todesdatum);Johannes Duns Scotus;118d2816d;[1] Quaestiones in quattuor libros Sententiarum [2] Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in libr. IV. Sententiarum cum textu Petri Lombardi. Hrsg. Johannes Grillot und Antonius Capellus.;1476-00-00--1478-00-00;Venedig;Johannes de Colonia;129032921;Johannes Manthen;102d47629;N/A;N/A;N/A;N/A;ff. 262;2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334). Mit Guillermus Vorilongus (GND 100944264), Vademecum super 1.IV Sententiarum";[1] Religious. [2] Philosophy and Morality;9073;id00379000;D-313 (4. Tl.);N/A;N/A;99d162;Schreckenberg III (1994) 334-33d;urn:nbn:de:bvb:12-bsb000d2492-3 (4. Tl.);Deutschland;München;Bayerische Staatsbibliothek (BSB);2 Inc.s.a. 380;2010-11-17;2021-09-24;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1308-11-08, vor (Todesdatum);Johannes Duns Scotus;118d2816d;[1] Quaestiones in quattuor libros Sententiarum [2] Quaestiones in quattuor libros Sententiarum Petri Lombardi;[1] Quodlibeta (USTC). [2] Quodlib[etum] Johannis duns Scoti subtilis theologoru[m] monarche (BSB);1481-00-00;Nürnberg;Anton Koberger;118d63890;N/A;N/A;N/A;N/A;N/A;N/A;ff. [d2];2°;Latein;"fragliche Auflage: wirklich enthalten? Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;9069;id00394000;D-319;N/A;N/A;744d07;Schreckenberg III (1994) 334-33d;urn:nbn:de:bvb:12-bsb00041863-8;Deutschland;München;Bayerische Staatsbibliothek (BSB);2 Inc.c.a. 1110 mc-3/4#Beibd.1;2009-09-26;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1308-11-08, vor (Todesdatum);Johannes Duns Scotus;118d2816d;[1] Quaestiones in quattuor libros Sententiarum [2] Quaestiones in quattuor libros Sententiarum Petri Lombardi;[1] Quodlibeta (USTC);1481-11-14;Venedig;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ff. 116;4°;Latein;"fragliche Auflage: wirklich enthalten? Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;9070;id0039d000;D-320 ?;N/A;N/A;99d147;Schreckenberg III (1994) 334-33d;urn:nbn:de:bvb:12-bsb000d2d4d-2;Deutschland;München;Bayerische Staatsbibliothek (BSB);4 Inc.c.a. 196-3/4#Beibd.1;2010-10-07;2021-09-24;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16. Jh.;Marcus Antonius Sabellicus;100960170;Historia hebreorum ex ... Enneadibus excerpta, eius gentis ritus, leges & gesta, ab orbe co[n]dito ad Iesu Christi te[m]pora ... co[m]plectens [etc.];Historia hebreo rum ex elegantissimis marci Antonii coccii sabellici enneadibus excerpta, eius gentis ritus leges et gesta, ab orbe condito, ad Jesu Christi tempora succincte complectens, in septem est partita libros (USTC);1d1d-00-00;[1] Basel, [2] Köln;Adam Petri de Langendorff (Drucker) [Köln, Ludwig Hornken, Basel, impensis proprijs per calcographiae gnarum Adam Petri];119784998;Ludwig Hornken (Verleger) [Köln, Ludwig Hornken, Basel, impensis proprijs per calcographiae gnarum Adam Petri];137636229;N/A;N/A;N/A;N/A;ff. 109;2°;Latein;Illustration;Religious;N/A;N/A;N/A;N/A;S 8;662dd2;N/A;[1] urn:nbn:de:bvb:12-bsb10942111-7. [2] urn:nbn:de:bvb:12-bsb00023037-3. [3] urn:nbn:de:bvb:12-bsb10812d61-d;Deutschland;München;Bayerische Staatsbibliothek (BSB);[1] 2 L.eleg.m. 30#Beibd.1. [2] 2 H.un. 83#Beibd.1. [3] Res/2 P.lat. 62#Beibd.2;[1] 2013-0d-08. [2] 2009-08-10. [3] 2013-0d-07;[2] 2020-09-04. [2] 2021-09-23. [3] 2020-09-04;urn:nbn:de:urmel-b4b3b2b0-d74a-4b4d-94d8-2e8e2df1a86b3-00000764-4378;Deutschland;Jena;Thüringer Universitäts- und Landesbibliothek (UrMEL);2 Hist.un.II,3;2012-10-12;N/A;https://doi.org/10.3931/e-rara-1793 ;Schweiz;Basel;Universitätsbibliothek (UB);EW II 1:1;N/A;N/A;http://data.onb.ac.at/rep/1068A2AB;Österreich;Wien;Nationalbibliothek (NB);32.Q.22 ALT PRUNK;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16. Jh.;Petrus Colonna GaLateino;1248d382X;Opus toti christianae reipublicae maxime utile, de arcanis catholicae veritatis, contra obstinatissimam Iudaeorum nostrae tempestatis perfidiam. Ex Talmud, aliisque hebraicis libris nuper excerptum: et quadruplici linguarum genere eleganter congestum;N/A;1d18-00-00;Ortona;Girolamo Soncino;11861dd80;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2°;[1] Latein [2] Hebräisch;Pfeferkorn-Reuchlin-Debatte, Reuchlinist. Signaturen: a-z6 &6 [cum]6 [R with cross stroke]6 A-Z6 2A-2C6. enthält hebräische Schriftzeichen;Religious;N/A;N/A;N/A;N/A;N/A;831362;Censimento nazionale delle edizioni italiane del XVI secolo, Reference: 20134. OPAC SBN (Catalogo del servizio bibliotecario nationale), Reference: RMLE00d370;http://books.google.it/books?id=kZuZ66GRanAC&hl=it&pg=PP1#v=onepage&q&f=false;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16. Jh.;Christoph Hoffmann;122778812;De Ratisbona metropoli Boioariae et subita ibidem Judaeorum proscriptione (etc.);N/A;1d19-00-00;Augsburg;Silvan Otmar (Drucker);129241172;Johannes von Regensburg Wagner (Finanzier);1197d6706;N/A;N/A;N/A;N/A;21 Bl.;4°;Latein;N/A;N/A;N/A;N/A;N/A;N/A;H 4132;631282;631282;[1] urn:nbn:de:bvb:12-bsb00024394-4. [2] urn:nbn:de:bvb:12-bsb109827d6-7. [3] urn:nbn:de:bvb:12-bsb109827d7-2;Deutschland;München;Bayerische Staatsbibliothek (BSB);[1] Res/4 A.lat.a. 73 b#Beibd.6. [2] 4 Bavar. 977 lm. [3] 4 Bavar. 977 ln;[1] 2008-06-24. [2] 2014-02-19. [3] 2014-02-19;[1] 2021-09-23. [2] 2018-06-1d. [3] 2018-08-02;http://data.onb.ac.at/rep/10684AD6;Österreich;Wien;Nationalbibliothek (NB);31.J.61 ALT PRUNK;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
113d-00-00--1204-00-00, zwischen (Lebensdaten);Pierre de Blois;118923927;Opera in unum volumen collecta et emendata authore J. M. doctore theologo subsequenti ordine habentur Epistole. Sermones. Tractatus in librum Job. contra perfifiam Judaeorum. De confessione. De amicitia christiana;Insignia opera in unum volumen collecta;1d19-00-00;Paris;André Bocard;1037d73307;Jean Petit (Buchhändler), für;1037d34433;N/A;N/A;N/A;N/A;N/A;2°;Latein;Beichte, Predigt;N/A;N/A;N/A;N/A;N/A;N/A;14d04d;Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 2173. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: d8262;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
113d-00-00--1204-00-00, zwischen (Lebensdaten);[1] Moses ben Maimon Maimonides. [2] Jacob Mantinus;[1] 118d76488. [2] 1197d2476;Rabi Mossei Aegyptii Dux seu Director dubita(n)tium aut perplexorum, in treis Libros diuisus, & summa accuratione Reuerendi patris Augustini Justiniani ordinis Praedicatorii Nebiensiu(m) Episcopi recognitus (etc.);Dux seu director dubitantium aut perplexorum, in treis libros divisus;1d20-00-00;N/A;Jodocus Badius Ascensius;11901808X;N/A;N/A;N/A;N/A;N/A;N/A;114 Bl.;N/A;Latein;Religioussphilosophie;N/A;N/A;N/A;N/A;N/A;N/A;14d234;Herbert M. Adams, Catalogue of books printed on the continent of Europe, 1d011600 in Cambridge libraries, Reference: M 1d8. Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 2408. Philippe Renouard, Imprimeurs et libraires parisiens du XVIe siècle, Reference: /Paris II.194,4d6. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 78691;urn:nbn:de:bvb:12-bsb10140241-0;Deutschland;München;Bayerische Staatsbibliothek (BSB);2 A.hebr. 180;08.0d.2013;2021-11-11;http://gallica.bnf.fr/ark:/12148/bpt6kd260dv;Frankreich;Paris;Bibliothèque nationale de France (BnF);ark:/12148/bpt6kd260dv;1d.10.2007;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
131d-00-00, vor (Todesjahr);Vittore Porchetto de' Salvatici;1002d1420;Victoria autoris adversus impios Hebraeos, in qua tum ex sacris literis, tum ex dictis Talmud ac Caballistarum ... monstratur veritas catholice fidei. Ex recognitione Aug. Justiniani episcopi Nebiensis;Victoria adversus impios Hebraeos, in qua monstratur veritas catholicae fidei (USTC);1d20-07-02;Paris;Guillermus Desplains;[https://data.bnf.fr/fr/16642d78/guillaume_des_plains/];Gilles de Gourmont;1037d71444;François Regnault;1037d66718;N/A;N/A;[ff. 94];2°;Latein;"Streitschrift, Kontroversschrift. Vorlage Raymundus Martinus. eigene Hebräischkenntnisse und Quelleneinsicht. ""Den Titel Sieg übernahm er von einem jüdischen Werk antichristlicher Polemik, das kurz zuvor verfasst worden war, dem Sefer Nizzachon (??? ??????  Buch des Siegs)"" (Wikipedia, Quelle: Hanne Trautner-Kromann: Shield and Sword: Jewish Polemics Against Christianity and the Christians in France and Spain from 11001d00. Tübingen 1993, S. 102). zum Exemplar der Badischen Landesbibliothek: Handexemplar von Martin Luther. - Randnotizen u.a. von Martin Luther, Heinrich Moller und Hermann von der Hardt. Vorlageform des Erscheinungsvermerks: Egidii Gourmo[n]tij & Francisci Regnault commorantium Parrhisijs in via Jacobea, Anno Domini. 1d20. 2. Jdus Juli. USTC: ""Guillermus Desplains expensis Egidio de Gourmont et François Regnault""";Religious;N/A;N/A;N/A;N/A;N/A;344420;Schreckenberg III (1994) 3d6-3d7. Floerken 22-23. Alexander Wilkinson, IB: Books Published in Spanish or Portugese or printed on the Iberian Peninsula before 1601, Reference: 17146;urn:nbn:de:bsz:31-3072;Deutschland;Karlsruhe;Badische Landesbibliothek;42 B 297;2d.11.2010;N/A;urn:nbn:de:bvb:12-bsb00031780-2;Deutschland;München;Bayerische Staatsbibliothek (BSB);Res/2 P.lat. 126d;2008-12-04;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
131d-00-00, vor (Todesjahr);Vittore Porchetto de' Salvatici;1002d1420;Victoria adversus Hebreos, in qua tum ex sacris literis, tum ex dictis Talmud ... monstratur veritas catholice fidei. Ex recognitione Augusti Justiniani episcopi Nebiensis;N/A;1d20-00-00;Paris;Guillermus Desplains;[https://data.bnf.fr/fr/16642d78/guillaume_des_plains/];Gilles de Gourmont;1037d71444;N/A;N/A;N/A;N/A;N/A;2°;Latein;"Streitschrift, Kontroversschrift. Vorlage Raymundus Martinus. eigene Hebräischkenntnisse und Quelleneinsicht. ""Den Titel Sieg übernahm er von einem jüdischen Werk antichristlicher Polemik, das kurz zuvor verfasst worden war, dem Sefer Nizzachon (??? ??????  Buch des Siegs)"" (Wikipedia, Quelle: Hanne Trautner-Kromann: Shield and Sword: Jewish Polemics Against Christianity and the Christians in France and Spain from 11001d00. Tübingen 1993, S. 102)";N/A;N/A;N/A;N/A;N/A;N/A;14d168;Schreckenberg III (1994) 3d6-3d7. Floerken 22-23.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
131d-00-00, vor (Todesjahr);Vittore Porchetto de' Salvatici;1002d1420;Victoria adversus Hebreos, in qua tum ex sacris literis, tum ex dictis Talmud ... monstratur veritas catholice fidei. Ex recognitione Augusti Justiniani episcopi Nebiensis;Victoria adversus impios Hebraeos, in qua monstratur veritas Catholicae fidei;1d20-00-00;Paris;Guillermus Desplains;[https://data.bnf.fr/fr/16642d78/guillaume_des_plains/];François Regnault;1037d66718;N/A;N/A;N/A;N/A;N/A;2°;Latein;"Streitschrift, Kontroversschrift. Vorlage Raymundus Martinus. eigene Hebräischkenntnisse und Quelleneinsicht. ""Den Titel Sieg übernahm er von einem jüdischen Werk antichristlicher Polemik, das kurz zuvor verfasst worden war, dem Sefer Nizzachon (??? ??????  Buch des Siegs)"" (Wikipedia, Quelle: Hanne Trautner-Kromann: Shield and Sword: Jewish Polemics Against Christianity and the Christians in France and Spain from 11001d00. Tübingen 1993, S. 102)";N/A;N/A;N/A;N/A;N/A;N/A;2091d1;Schreckenberg III (1994) 3d6-3d7. Floerken 22-23. Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 2472. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 8d644;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
